"Date","Price","Open","High","Low","Change %"
"07/20/2006","5.030","5.030","5.030","5.030","-0.49%"
"07/19/2006","5.055","5.055","5.055","5.055","-1.58%"
"07/18/2006","5.136","5.136","5.136","5.136","1.32%"
"07/17/2006","5.069","5.069","5.069","5.069","0.04%"
"07/14/2006","5.067","5.067","5.067","5.067","0.00%"
"07/13/2006","5.067","5.067","5.067","5.067","-0.76%"
"07/12/2006","5.106","5.106","5.106","5.106","-0.04%"
"07/11/2006","5.108","5.108","5.108","5.108","-0.43%"
"07/10/2006","5.130","5.130","5.130","5.130","-0.04%"
"07/07/2006","5.132","5.132","5.132","5.132","-0.98%"
"07/06/2006","5.183","5.183","5.183","5.183","-0.84%"
"07/05/2006","5.227","5.227","5.227","5.227","1.63%"
"07/04/2006","5.143","5.143","5.143","5.143","-0.23%"
"07/03/2006","5.155","5.155","5.155","5.155","0.19%"
"06/30/2006","5.145","5.145","5.145","5.145","-1.06%"
"06/29/2006","5.200","5.200","5.200","5.200","-1.01%"
"06/28/2006","5.253","5.253","5.253","5.253","0.86%"
"06/27/2006","5.208","5.208","5.208","5.208","-0.59%"
"06/26/2006","5.239","5.239","5.239","5.239","0.21%"
"06/23/2006","5.228","5.228","5.228","5.228","0.27%"
"06/22/2006","5.214","5.214","5.214","5.214","1.07%"
"06/21/2006","5.159","5.159","5.159","5.159","0.04%"
"06/20/2006","5.157","5.157","5.157","5.157","0.35%"
"06/19/2006","5.139","5.139","5.139","5.139","0.08%"
"06/16/2006","5.135","5.135","5.135","5.135","0.69%"
"06/15/2006","5.100","5.100","5.100","5.100","0.59%"
"06/14/2006","5.070","5.070","5.070","5.070","2.03%"
"06/13/2006","4.969","4.969","4.969","4.969","-0.28%"
"06/12/2006","4.983","4.983","4.983","4.983","0.12%"
"06/09/2006","4.977","4.977","4.977","4.977","-0.46%"
"06/08/2006","5.000","5.000","5.000","5.000","-0.48%"
"06/07/2006","5.024","5.024","5.024","5.024","0.40%"
"06/06/2006","5.004","5.004","5.004","5.004","-0.44%"
"06/05/2006","5.026","5.026","5.026","5.026","0.64%"
"06/02/2006","4.994","4.994","4.994","4.994","-2.16%"
"06/01/2006","5.104","5.104","5.104","5.104","-0.37%"
"05/31/2006","5.123","5.123","5.123","5.123","0.89%"
"05/30/2006","5.078","5.078","5.078","5.078","0.32%"
"05/29/2006","5.062","5.062","5.062","5.062","0.12%"
"05/26/2006","5.056","5.056","5.056","5.056","-0.39%"
"05/25/2006","5.076","5.076","5.076","5.076","0.67%"
"05/24/2006","5.042","5.042","5.042","5.042","0.52%"
"05/23/2006","5.016","5.016","5.016","5.016","-0.56%"
"05/22/2006","5.044","5.044","5.044","5.044","-0.39%"
"05/19/2006","5.064","5.064","5.064","5.064","0.02%"
"05/18/2006","5.063","5.063","5.063","5.063","-1.71%"
"05/17/2006","5.151","5.151","5.151","5.151","0.94%"
"05/16/2006","5.103","5.103","5.103","5.103","-1.12%"
"05/15/2006","5.161","5.161","5.161","5.161","-0.75%"
"05/12/2006","5.200","5.200","5.200","5.200","0.74%"
"05/11/2006","5.162","5.162","5.162","5.162","0.62%"
"05/10/2006","5.130","5.130","5.130","5.130","0.00%"
"05/09/2006","5.130","5.130","5.130","5.130","0.21%"
"05/08/2006","5.119","5.119","5.119","5.119","0.25%"
"05/05/2006","5.106","5.106","5.106","5.106","-1.07%"
"05/04/2006","5.161","5.161","5.161","5.161","0.25%"
"05/03/2006","5.148","5.148","5.148","5.148","0.66%"
"05/02/2006","5.114","5.114","5.114","5.114","-0.56%"
"05/01/2006","5.143","5.143","5.143","5.143","1.70%"
"04/28/2006","5.057","5.057","5.057","5.057","-0.32%"
"04/27/2006","5.073","5.073","5.073","5.073","-0.74%"
"04/26/2006","5.111","5.111","5.111","5.111","0.75%"
"04/25/2006","5.073","5.073","5.073","5.073","1.77%"
"04/24/2006","4.985","4.985","4.985","4.985","-0.62%"
"04/21/2006","5.016","5.016","5.016","5.016","-0.61%"
"04/20/2006","5.047","5.047","5.047","5.047","0.38%"
"04/19/2006","5.028","5.028","5.028","5.028","0.82%"
"04/18/2006","4.987","4.987","4.987","4.987","-0.44%"
"04/17/2006","5.009","5.009","5.009","5.009","-0.87%"
"04/13/2006","5.053","5.053","5.053","5.053","1.43%"
"04/12/2006","4.982","4.982","4.982","4.982","1.18%"
"04/11/2006","4.924","4.924","4.924","4.924","-0.67%"
"04/10/2006","4.957","4.957","4.957","4.957","-0.58%"
"04/07/2006","4.986","4.986","4.986","4.986","1.73%"
"04/06/2006","4.901","4.901","4.901","4.901","1.11%"
"04/05/2006","4.847","4.847","4.847","4.847","-0.43%"
"04/04/2006","4.868","4.868","4.868","4.868","0.04%"
"04/03/2006","4.866","4.866","4.866","4.866","0.27%"
"03/31/2006","4.853","4.853","4.853","4.853","-0.16%"
"03/30/2006","4.861","4.861","4.861","4.861","1.10%"
"03/29/2006","4.808","4.808","4.808","4.808","0.29%"
"03/28/2006","4.794","4.794","4.794","4.794","1.81%"
"03/27/2006","4.709","4.709","4.709","4.709","0.73%"
"03/24/2006","4.675","4.675","4.675","4.675","-1.31%"
"03/23/2006","4.737","4.737","4.737","4.737","0.68%"
"03/22/2006","4.705","4.705","4.705","4.705","-0.42%"
"03/21/2006","4.725","4.725","4.725","4.725","1.35%"
"03/20/2006","4.662","4.662","4.662","4.662","-0.30%"
"03/17/2006","4.676","4.676","4.676","4.676","0.60%"
"03/16/2006","4.648","4.648","4.648","4.648","-1.75%"
"03/15/2006","4.731","4.731","4.731","4.731","0.70%"
"03/14/2006","4.698","4.698","4.698","4.698","-1.57%"
"03/13/2006","4.773","4.773","4.773","4.773","0.21%"
"03/10/2006","4.763","4.763","4.763","4.763","0.70%"
"03/09/2006","4.730","4.730","4.730","4.730","-0.04%"
"03/08/2006","4.732","4.732","4.732","4.732","0.08%"
"03/07/2006","4.728","4.728","4.728","4.728","-0.55%"
"03/06/2006","4.754","4.754","4.754","4.754","1.49%"
"03/03/2006","4.684","4.684","4.684","4.684","1.12%"
"03/02/2006","4.632","4.632","4.632","4.632","0.94%"
"03/01/2006","4.589","4.589","4.589","4.589","0.70%"
"02/28/2006","4.557","4.557","4.557","4.557","-0.81%"
"02/27/2006","4.594","4.594","4.594","4.594","0.37%"
"02/24/2006","4.577","4.577","4.577","4.577","0.31%"
"02/23/2006","4.563","4.563","4.563","4.563","0.80%"
"02/22/2006","4.527","4.527","4.527","4.527","-0.96%"
"02/21/2006","4.571","4.571","4.571","4.571","0.57%"
"02/20/2006","4.545","4.545","4.545","4.545","0.13%"
"02/17/2006","4.539","4.539","4.539","4.539","-1.07%"
"02/16/2006","4.588","4.588","4.588","4.588","-0.26%"
"02/15/2006","4.600","4.600","4.600","4.600","-0.26%"
"02/14/2006","4.612","4.612","4.612","4.612","0.59%"
"02/13/2006","4.585","4.585","4.585","4.585","-0.11%"
"02/10/2006","4.590","4.590","4.590","4.590","0.90%"
"02/09/2006","4.549","4.549","4.549","4.549","-0.91%"
"02/08/2006","4.591","4.591","4.591","4.591","0.44%"
"02/07/2006","4.571","4.571","4.571","4.571","0.53%"
"02/06/2006","4.547","4.547","4.547","4.547","0.40%"
"02/03/2006","4.529","4.529","4.529","4.529","-0.75%"
"02/02/2006","4.563","4.563","4.563","4.563","0.04%"
"02/01/2006","4.561","4.561","4.561","4.561","0.93%"
"01/31/2006","4.519","4.519","4.519","4.519","-0.26%"
"01/30/2006","4.531","4.531","4.531","4.531","0.35%"
"01/27/2006","4.515","4.515","4.515","4.515","-0.22%"
"01/26/2006","4.525","4.525","4.525","4.525","0.98%"
"01/25/2006","4.481","4.481","4.481","4.481","1.98%"
"01/24/2006","4.394","4.394","4.394","4.394","0.76%"
"01/23/2006","4.361","4.361","4.361","4.361","0.14%"
"01/20/2006","4.355","4.355","4.355","4.355","-0.50%"
"01/19/2006","4.377","4.377","4.377","4.377","0.90%"
"01/18/2006","4.338","4.338","4.338","4.338","0.18%"
"01/17/2006","4.330","4.330","4.330","4.330","-0.85%"
"01/16/2006","4.367","4.367","4.367","4.367","0.23%"
"01/13/2006","4.357","4.357","4.357","4.357","-1.16%"
"01/12/2006","4.408","4.408","4.408","4.408","-1.12%"
"01/11/2006","4.458","4.458","4.458","4.458","0.63%"
"01/10/2006","4.430","4.430","4.430","4.430","1.30%"
"01/09/2006","4.373","4.373","4.373","4.373","-0.23%"
"01/06/2006","4.383","4.383","4.383","4.383","0.57%"
"01/05/2006","4.358","4.358","4.358","4.358","0.23%"
"01/04/2006","4.348","4.348","4.348","4.348","-0.50%"
"01/03/2006","4.370","4.370","4.370","4.370","-0.57%"
"12/30/2005","4.395","4.395","4.395","4.395","0.80%"
"12/29/2005","4.360","4.360","4.360","4.360","-0.46%"
"12/28/2005","4.380","4.380","4.380","4.380","0.83%"
"12/27/2005","4.344","4.344","4.344","4.344","-0.73%"
"12/23/2005","4.376","4.376","4.376","4.376","-1.33%"
"12/22/2005","4.435","4.435","4.435","4.435","-1.36%"
"12/21/2005","4.496","4.496","4.496","4.496","0.67%"
"12/20/2005","4.466","4.466","4.466","4.466","0.45%"
"12/19/2005","4.446","4.446","4.446","4.446","0.16%"
"12/16/2005","4.439","4.439","4.439","4.439","-0.52%"
"12/15/2005","4.462","4.462","4.462","4.462","-0.04%"
"12/14/2005","4.464","4.464","4.464","4.464","-1.35%"
"12/13/2005","4.525","4.525","4.525","4.525","-0.61%"
"12/12/2005","4.553","4.553","4.553","4.553","0.44%"
"12/09/2005","4.533","4.533","4.533","4.533","1.45%"
"12/08/2005","4.468","4.468","4.468","4.468","-1.08%"
"12/07/2005","4.517","4.517","4.517","4.517","0.65%"
"12/06/2005","4.488","4.488","4.488","4.488","-1.90%"
"12/05/2005","4.575","4.575","4.575","4.575","1.33%"
"12/02/2005","4.515","4.515","4.515","4.515","-0.09%"
"12/01/2005","4.519","4.519","4.519","4.519","0.65%"
"11/30/2005","4.490","4.490","4.490","4.490","0.18%"
"11/29/2005","4.482","4.482","4.482","4.482","1.63%"
"11/28/2005","4.410","4.410","4.410","4.410","-0.56%"
"11/25/2005","4.435","4.435","4.435","4.435","-0.96%"
"11/23/2005","4.478","4.478","4.478","4.478","1.06%"
"11/22/2005","4.431","4.431","4.431","4.431","-0.72%"
"11/21/2005","4.463","4.463","4.463","4.463","-0.73%"
"11/18/2005","4.496","4.496","4.496","4.496","0.69%"
"11/17/2005","4.465","4.465","4.465","4.465","-0.29%"
"11/16/2005","4.478","4.478","4.478","4.478","-1.86%"
"11/15/2005","4.563","4.563","4.563","4.563","-1.02%"
"11/14/2005","4.610","4.610","4.610","4.610","0.68%"
"11/11/2005","4.579","4.579","4.579","4.579","0.37%"
"11/10/2005","4.562","4.562","4.562","4.562","-1.79%"
"11/09/2005","4.645","4.645","4.645","4.645","1.89%"
"11/08/2005","4.559","4.559","4.559","4.559","-1.49%"
"11/07/2005","4.628","4.628","4.628","4.628","-0.75%"
"11/04/2005","4.663","4.663","4.663","4.663","0.21%"
"11/03/2005","4.653","4.653","4.653","4.653","0.93%"
"11/02/2005","4.610","4.610","4.610","4.610","0.90%"
"11/01/2005","4.569","4.569","4.569","4.569","0.26%"
"10/31/2005","4.557","4.557","4.557","4.557","-0.26%"
"10/28/2005","4.569","4.569","4.569","4.569","0.33%"
"10/27/2005","4.554","4.554","4.554","4.554","-0.76%"
"10/26/2005","4.589","4.589","4.589","4.589","1.08%"
"10/25/2005","4.540","4.540","4.540","4.540","2.07%"
"10/24/2005","4.448","4.448","4.448","4.448","1.28%"
"10/21/2005","4.392","4.392","4.392","4.392","-0.97%"
"10/20/2005","4.435","4.435","4.435","4.435","-0.76%"
"10/19/2005","4.469","4.469","4.469","4.469","-0.18%"
"10/18/2005","4.477","4.477","4.477","4.477","-0.49%"
"10/17/2005","4.499","4.499","4.499","4.499","0.40%"
"10/14/2005","4.481","4.481","4.481","4.481","0.31%"
"10/13/2005","4.467","4.467","4.467","4.467","0.49%"
"10/12/2005","4.445","4.445","4.445","4.445","1.14%"
"10/11/2005","4.395","4.395","4.395","4.395","0.76%"
"10/10/2005","4.362","4.362","4.362","4.362","0.00%"
"10/07/2005","4.362","4.362","4.362","4.362","-0.75%"
"10/06/2005","4.395","4.395","4.395","4.395","1.13%"
"10/05/2005","4.346","4.346","4.346","4.346","-0.57%"
"10/04/2005","4.371","4.371","4.371","4.371","-0.36%"
"10/03/2005","4.387","4.387","4.387","4.387","1.27%"
"09/30/2005","4.332","4.332","4.332","4.332","0.65%"
"09/29/2005","4.304","4.304","4.304","4.304","1.06%"
"09/28/2005","4.259","4.259","4.259","4.259","-0.61%"
"09/27/2005","4.285","4.285","4.285","4.285","-0.26%"
"09/26/2005","4.296","4.296","4.296","4.296","1.06%"
"09/23/2005","4.251","4.251","4.251","4.251","1.53%"
"09/22/2005","4.187","4.187","4.187","4.187","0.41%"
"09/21/2005","4.170","4.170","4.170","4.170","-1.74%"
"09/20/2005","4.244","4.244","4.244","4.244","-0.21%"
"09/19/2005","4.253","4.253","4.253","4.253","-0.61%"
"09/16/2005","4.279","4.279","4.279","4.279","1.47%"
"09/15/2005","4.217","4.217","4.217","4.217","1.13%"
"09/14/2005","4.170","4.170","4.170","4.170","0.90%"
"09/13/2005","4.133","4.133","4.133","4.133","-1.03%"
"09/12/2005","4.176","4.176","4.176","4.176","1.26%"
"09/09/2005","4.124","4.124","4.124","4.124","-0.55%"
"09/08/2005","4.147","4.147","4.147","4.147","0.14%"
"09/07/2005","4.141","4.141","4.141","4.141","0.98%"
"09/06/2005","4.101","4.101","4.101","4.101","1.41%"
"09/02/2005","4.044","4.044","4.044","4.044","0.22%"
"09/01/2005","4.035","4.035","4.035","4.035","0.52%"
"08/31/2005","4.014","4.014","4.014","4.014","-1.95%"
"08/30/2005","4.094","4.094","4.094","4.094","-1.92%"
"08/29/2005","4.174","4.174","4.174","4.174","-0.43%"
"08/26/2005","4.192","4.192","4.192","4.192","0.75%"
"08/25/2005","4.161","4.161","4.161","4.161","-0.24%"
"08/24/2005","4.171","4.171","4.171","4.171","-0.31%"
"08/23/2005","4.184","4.184","4.184","4.184","-0.64%"
"08/22/2005","4.211","4.211","4.211","4.211","0.00%"
"08/19/2005","4.211","4.211","4.211","4.211","0.12%"
"08/18/2005","4.206","4.206","4.206","4.206","-1.57%"
"08/17/2005","4.273","4.273","4.273","4.273","1.42%"
"08/16/2005","4.213","4.213","4.213","4.213","-1.73%"
"08/15/2005","4.287","4.287","4.287","4.287","0.87%"
"08/12/2005","4.250","4.250","4.250","4.250","-1.80%"
"08/11/2005","4.328","4.328","4.328","4.328","-1.55%"
"08/10/2005","4.396","4.396","4.396","4.396","0.09%"
"08/09/2005","4.392","4.392","4.392","4.392","-0.77%"
"08/08/2005","4.426","4.426","4.426","4.426","0.77%"
"08/05/2005","4.392","4.392","4.392","4.392","1.76%"
"08/04/2005","4.316","4.316","4.316","4.316","0.47%"
"08/03/2005","4.296","4.296","4.296","4.296","-1.01%"
"08/02/2005","4.340","4.340","4.340","4.340","0.56%"
"08/01/2005","4.316","4.316","4.316","4.316","0.79%"
"07/29/2005","4.282","4.282","4.282","4.282","2.12%"
"07/28/2005","4.193","4.193","4.193","4.193","-1.62%"
"07/27/2005","4.262","4.262","4.262","4.262","0.80%"
"07/26/2005","4.228","4.228","4.228","4.228","-0.52%"
"07/25/2005","4.250","4.250","4.250","4.250","0.66%"
"07/22/2005","4.222","4.222","4.222","4.222","-1.40%"
"07/21/2005","4.282","4.282","4.282","4.282","2.93%"
"07/20/2005","4.160","4.160","4.160","4.160","-0.60%"
"07/19/2005","4.185","4.185","4.185","4.185","-0.97%"
"07/18/2005","4.226","4.226","4.226","4.226","1.32%"
"07/15/2005","4.171","4.171","4.171","4.171","-0.24%"
"07/14/2005","4.181","4.181","4.181","4.181","0.46%"
"07/13/2005","4.162","4.162","4.162","4.162","0.34%"
"07/12/2005","4.148","4.148","4.148","4.148","1.20%"
"07/11/2005","4.099","4.099","4.099","4.099","0.00%"
"07/08/2005","4.099","4.099","4.099","4.099","0.76%"
"07/07/2005","4.068","4.068","4.068","4.068","-0.15%"
"07/06/2005","4.074","4.074","4.074","4.074","-0.90%"
"07/05/2005","4.111","4.111","4.111","4.111","1.38%"
"07/01/2005","4.055","4.055","4.055","4.055","3.42%"
"06/30/2005","3.921","3.921","3.921","3.921","-1.68%"
"06/29/2005","3.988","3.988","3.988","3.988","0.35%"
"06/28/2005","3.974","3.974","3.974","3.974","1.71%"
"06/27/2005","3.907","3.907","3.907","3.907","-0.46%"
"06/24/2005","3.925","3.925","3.925","3.925","-0.81%"
"06/23/2005","3.957","3.957","3.957","3.957","0.28%"
"06/22/2005","3.946","3.946","3.946","3.946","-2.50%"
"06/21/2005","4.047","4.047","4.047","4.047","-1.70%"
"06/20/2005","4.117","4.117","4.117","4.117","1.01%"
"06/17/2005","4.076","4.076","4.076","4.076","0.12%"
"06/16/2005","4.071","4.071","4.071","4.071","-0.97%"
"06/15/2005","4.111","4.111","4.111","4.111","-0.05%"
"06/14/2005","4.113","4.113","4.113","4.113","0.46%"
"06/13/2005","4.094","4.094","4.094","4.094","0.96%"
"06/10/2005","4.055","4.055","4.055","4.055","2.61%"
"06/09/2005","3.952","3.952","3.952","3.952","0.33%"
"06/08/2005","3.939","3.939","3.939","3.939","0.82%"
"06/07/2005","3.907","3.907","3.907","3.907","-1.24%"
"06/06/2005","3.956","3.956","3.956","3.956","-0.63%"
"06/03/2005","3.981","3.981","3.981","3.981","1.74%"
"06/02/2005","3.913","3.913","3.913","3.913","0.59%"
"06/01/2005","3.890","3.890","3.890","3.890","-2.43%"
"05/31/2005","3.987","3.987","3.987","3.987","-2.06%"
"05/27/2005","4.071","4.071","4.071","4.071","-0.32%"
"05/26/2005","4.084","4.084","4.084","4.084","-0.15%"
"05/25/2005","4.090","4.090","4.090","4.090","1.46%"
"05/24/2005","4.031","4.031","4.031","4.031","-0.76%"
"05/23/2005","4.062","4.062","4.062","4.062","-1.57%"
"05/20/2005","4.127","4.127","4.127","4.127","0.19%"
"05/19/2005","4.119","4.119","4.119","4.119","0.61%"
"05/18/2005","4.094","4.094","4.094","4.094","-0.66%"
"05/17/2005","4.121","4.121","4.121","4.121","-0.34%"
"05/16/2005","4.135","4.135","4.135","4.135","0.34%"
"05/13/2005","4.121","4.121","4.121","4.121","-1.32%"
"05/12/2005","4.176","4.176","4.176","4.176","-0.71%"
"05/11/2005","4.206","4.206","4.206","4.206","0.05%"
"05/10/2005","4.204","4.204","4.204","4.204","-1.96%"
"05/09/2005","4.288","4.288","4.288","4.288","0.56%"
"05/06/2005","4.264","4.264","4.264","4.264","2.55%"
"05/05/2005","4.158","4.158","4.158","4.158","-0.81%"
"05/04/2005","4.192","4.192","4.192","4.192","0.53%"
"05/03/2005","4.170","4.170","4.170","4.170","-0.57%"
"05/02/2005","4.194","4.194","4.194","4.194","-0.14%"
"04/29/2005","4.200","4.200","4.200","4.200","1.25%"
"04/28/2005","4.148","4.148","4.148","4.148","-1.92%"
"04/27/2005","4.229","4.229","4.229","4.229","-0.98%"
"04/26/2005","4.271","4.271","4.271","4.271","0.38%"
"04/25/2005","4.255","4.255","4.255","4.255","0.09%"
"04/22/2005","4.251","4.251","4.251","4.251","-1.19%"
"04/21/2005","4.302","4.302","4.302","4.302","2.65%"
"04/20/2005","4.191","4.191","4.191","4.191","-0.62%"
"04/19/2005","4.217","4.217","4.217","4.217","-1.33%"
"04/18/2005","4.274","4.274","4.274","4.274","0.64%"
"04/15/2005","4.247","4.247","4.247","4.247","-1.55%"
"04/14/2005","4.314","4.314","4.314","4.314","-1.19%"
"04/13/2005","4.366","4.366","4.366","4.366","0.18%"
"04/12/2005","4.358","4.358","4.358","4.358","-1.80%"
"04/11/2005","4.438","4.438","4.438","4.438","-0.80%"
"04/08/2005","4.474","4.474","4.474","4.474","-0.31%"
"04/07/2005","4.488","4.488","4.488","4.488","1.40%"
"04/06/2005","4.426","4.426","4.426","4.426","-1.03%"
"04/05/2005","4.472","4.472","4.472","4.472","0.22%"
"04/04/2005","4.462","4.462","4.462","4.462","0.25%"
"04/01/2005","4.451","4.451","4.451","4.451","-0.82%"
"03/31/2005","4.488","4.488","4.488","4.488","-1.41%"
"03/30/2005","4.552","4.552","4.552","4.552","-0.63%"
"03/29/2005","4.581","4.581","4.581","4.581","-1.36%"
"03/28/2005","4.644","4.644","4.644","4.644","0.98%"
"03/24/2005","4.599","4.599","4.599","4.599","0.24%"
"03/23/2005","4.588","4.588","4.588","4.588","-1.27%"
"03/22/2005","4.647","4.647","4.647","4.647","2.65%"
"03/21/2005","4.527","4.527","4.527","4.527","0.35%"
"03/18/2005","4.511","4.511","4.511","4.511","0.96%"
"03/17/2005","4.468","4.468","4.468","4.468","-0.89%"
"03/16/2005","4.508","4.508","4.508","4.508","-0.94%"
"03/15/2005","4.551","4.551","4.551","4.551","0.82%"
"03/14/2005","4.514","4.514","4.514","4.514","-0.70%"
"03/11/2005","4.546","4.546","4.546","4.546","1.72%"
"03/10/2005","4.469","4.469","4.469","4.469","-1.30%"
"03/09/2005","4.528","4.528","4.528","4.528","2.98%"
"03/08/2005","4.397","4.397","4.397","4.397","1.92%"
"03/07/2005","4.314","4.314","4.314","4.314","-0.02%"
"03/04/2005","4.315","4.315","4.315","4.315","-1.55%"
"03/03/2005","4.383","4.383","4.383","4.383","0.05%"
"03/02/2005","4.381","4.381","4.381","4.381","0.23%"
"03/01/2005","4.371","4.371","4.371","4.371","-0.23%"
"02/28/2005","4.381","4.381","4.381","4.381","2.60%"
"02/25/2005","4.270","4.270","4.270","4.270","-0.44%"
"02/24/2005","4.289","4.289","4.289","4.289","0.42%"
"02/23/2005","4.271","4.271","4.271","4.271","-0.47%"
"02/22/2005","4.291","4.291","4.291","4.291","0.63%"
"02/18/2005","4.264","4.264","4.264","4.264","1.89%"
"02/17/2005","4.185","4.185","4.185","4.185","0.60%"
"02/16/2005","4.160","4.160","4.160","4.160","1.41%"
"02/15/2005","4.102","4.102","4.102","4.102","0.61%"
"02/14/2005","4.077","4.077","4.077","4.077","-0.37%"
"02/11/2005","4.092","4.092","4.092","4.092","0.02%"
"02/10/2005","4.091","4.091","4.091","4.091","2.63%"
"02/09/2005","3.986","3.986","3.986","3.986","-0.92%"
